ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,10,1244,,,,,116102.83,450840.16,12688.35,4142.87,66154.2,522582578.16,19551.04,119.65,137873525.2,1656.78,6554009.21,4208395.02,11036367.73
2022,2,1244,,,,,107063.91,643917.11,25773.31,2403.96,66823.45,592014106.1,38810.87,,106887622.05,1656.78,5202846.13,6246377.58,20446010.58
2022,1,1244,,,,,106672.32,577653.08,14165.2,1325.66,56309.07,584308326.85,15340.89,,112490935.46,1503.96,5369893.13,19467952.4,7493295.21
2022,3,1252,,,,,,27733.43,5133244.74,,1008.69,218.54,336.22,,,,413350.9,,
2022,4,1252,,,,,,27627.24,3561277.72,,517.13,112.05,172.37,,,,107932.47,,
2022,7,1252,,,,,,27659.02,2372812.06,,434.95,94.23,144.98,,,,263776.54,,
2022,2,1252,,,,,,27633.49,3538682.89,,874.0,189.38,291.33,,,,258465.84,,
2022,8,1252,,,,,,27627.24,3735326.23,,583.71,126.46,194.57,,,,195971.11,,
2022,6,1252,,,,,,27627.24,2415728.96,,1290.84,279.67,430.28,,,,274659.49,,
2022,1,1252,,,,,,55665.31,7398387.83,,152.8,33.13,50.93,,,,209425.69,,
2022,12,1252,,,,,,27667.76,2400289.06,,571.48,123.81,190.5,,173989.29,,180873.06,,
2022,10,1252,,,,,,27896.1,2534940.33,,1359.28,294.5,453.09,,,,216889.67,,
2022,6,1279,,,,,,3311974.26,,,26933.1,478821.02,1730.86,,971300.72,,2762544.6,10660.98,189553.84
2022,5,1279,,,,,,3249453.4,,,114802.76,408434.82,31262.64,,858807.54,,3071613.37,15194.33,243310.76
2022,9,1279,,,,,,3062622.45,,102.0,27899.16,508293.47,1847.67,,1002501.46,,2997881.84,4846.42,202950.76
2022,11,1279,,,,,,4932096.54,,,28173.92,541132.25,1902.52,,25434644.91,,2916783.04,2499.95,126346.34
2022,7,1279,,,,,,3764156.12,,,26472.06,541641.99,1630.98,,810667.95,,2794485.06,4934.0,169418.53
2022,8,1279,,,,,,2846743.74,,,28050.65,505280.91,1908.68,,495938.68,,3171645.5,23592.82,128839.09
2022,4,1279,,,,,,3101596.71,,,47741.74,557084.77,1601.35,,750786.71,,3212733.64,209700.74,121897.61
2022,1,1279,,,,,,10265529.45,,,84933.74,486841.52,15965.17,,729158.08,,2996433.0,3808.8,204976.09
2022,2,1279,,,,,,6015445.64,,,92628.66,334360.03,19340.5,,411028.19,,2741119.92,10885.7,166602.79
2022,3,1279,,,,,,3769235.78,,,84848.22,582100.93,15457.95,,1001447.62,,3075397.52,2343.7,189461.04
2022,10,1279,,,,,,3551455.33,,,27516.28,593980.26,1751.23,,668581.2,,2627832.67,4320.78,133296.74
2022,12,1279,,,,,352.8,5168789.07,,,195018.68,645088.25,57482.8,,49967315.95,,3336637.25,3003.78,198914.18
2022,11,1317,,,,,,113608.22,,,30396.9,6586.01,10132.33,,349740.35,29914875.71,2719380.38,250281.97,50441.85
2022,12,1317,,,,,,147808.44,,,29700.34,6435.06,9900.1,,617034.3,59970303.67,6379749.49,,23568.55
2022,9,1317,,,,,,135614.7,,710.0,31979.09,6928.8,10659.74,,,29884463.17,2839448.47,,13713.9
2022,3,1317,,,,,,80337.98,,,27468.24,5951.46,9156.09,,,29690911.55,3848586.71,,216011.38
2022,4,1317,,,,,,38657.38,,,12922.66,99554.08,4307.56,,,29793052.36,4194180.93,,
2022,1,1317,,,,,,30246.84,,,28025.76,6072.27,9341.89,,,31245585.99,3059502.9,1465135.01,1205.31
2022,8,1317,,,,,,91546.03,,,34623.0,7501.65,11541.07,,,29815131.68,4600221.83,,242334.82
2022,2,1317,,,,,,84990.99,,,26468.18,5734.79,8822.7,,,29975990.17,4053646.24,,1590474.63
2022,10,1317,,,,,,90953.94,,,34285.47,7428.55,11428.5,,,29989303.02,6668032.66,,11911.6
2022,7,1317,,,,,,34060.78,,,34196.92,7409.33,11398.97,,,29772435.46,3791281.62,,102.99
2022,6,1317,,,,,,65631.6,,,32183.33,6973.04,10727.77,,,29884203.25,4056691.89,,359143.24
2022,5,1317,,,,,,50680.86,,,48346.04,10474.97,16115.34,,,29825231.88,4300540.11,,
2022,5,1325,,,,,,21716.02,,,10440.05,2118296.33,18911.46,,,,2064589.93,3349.52,
2022,8,1325,,,,,,53509.2,,,17787.56,1971628.97,66301.5,,,,1972680.86,25766.3,
